title,units,description
BIOL 330 - Principles of Ecology,4,"Major ideas shaping modern ecology: population regulation, competition, predation, ecosystem energetics, mathematical models, and nutrient cycling. Role of biological and physical factors in developing community structure."
WLDF 301 - Principles of Wildlife Management,3,Plant / animal ecology; population dynamics; philosophy.
WLDF 460 - Conservation Biology,3,"Endangered species management, reserve design, conservation genetics, related concepts."
GSP 216 - Introduction to Remote Sensing,3,"Introductory course in remote sensing focusing on broad topics pertaining to nature of radiation, aerial photography and interpretation, multispectral scanners, and image data and processing."
GSP 316 - Cartography,4,"Cartographic visualization and map design principles through GIS and illustration programs, the selection of appropriate map projections, data classification, color, visual variables, charts, graphs, and diagrams."
GSP 270 - Geographic Information Science (GIS),3,"Introductory course in Geographic Information Science and spatial analysis involving collection, manipulation, display, and analysis of geographically referenced data. Raster and Vector data, overlays, buffer, proximity analysis and SQL queries."
GSP 272 - GIS for Social Science,3,"Introduction to geographic information systems (GIS) for the social sciences. Fundamental theory and application of spatial analysis to relevant issues in business, marketing, sociology, anthropology, criminology, history and more. ArcGIS used primarily, but some data manipulation will require the use of other tools such as Microsoft Excel. Covers the concepts and skills of introductory GIS analysis. Basic principles of cartography will be introduced, as well as other tools to develop impactful data presentation."
GSP 370 - Intermediate Geographic Information Science (GIS),3,"Data accuracy and quality, standard and advanced geospatial data models, data integration and analysis, constraint analysis, location-allocation analysis, metadata standards and documentation, geospatial ethics, industry applications of geospatial analysis."
ART 105E - Digital Media Foundations,3,"Introduction to digital media focusing on computers, networks, digital art, digital design and time-based media. Topics include the formal qualities of new media, their political and cultural dimensions, as well as questions of genre, subjectivity, narrative, and history."
ART 251 - Photography I,3,Fundamentals of digital camera functions and introduction to digital imaging software. Exploration of creative image control and visual communication through lens-based image making.
JMC 120 - Beginning Reporting,3,"Learn and practice the basic skills of reporting, interviewing and journalistic storytelling for a wide variety of audiences. Improve your writing and oral communication skills and become a more organized thinker about content. Prerequisite for several journalism courses."
JMC 107 - Media Tools: Literacy in Action,3,"Create online media content to communicate a personal media literacy journey. Pursue practices of critical thinking, from identifying fallacies to fact-checking sources, to become responsible media consumers."
JMC 156 - Video Production,3,Experience hands-on learning and produce videos that will capture the audience’s attention. Learn basic skills in field camera production and Adobe Premiere Pro editing. Work on a variety of video projects with a message of social justice and environmental responsibility.
ENGL 460 - Literary Editing and Publishing (Toyon Multilingual Literary Journal),4,"Study and gain hands-on experience in the practice of literary editing, including manuscript selection, layout, design, and production. Produce an issue of the Toyon Multilingual Literary Journal and learn about histories, trends, and opportunities in literary publishing."
FILM 362 - Documentary Production,4,"Fundamentals of ethical, non-fiction video production."
JMC 325 - Osprey Magazine Production,2,"Work as a writer, editor, layout designer, photographer or in another role and collaborate with other student staff members to create and publish the Osprey general feature magazine. Not repeatable for journalism major credit."
JMC 327 - Lumberjack News Workshop,2,"Work as a reporter, photographer, designer, editor or in another role to produce content for The Lumberjack. You can have your voice heard and practice the skills necessary to ensure a free press."
JMC 336 - Advanced Video Production,3,"Students in this course use professional video cameras and digital editing to effectively report news and information. Advanced production techniques include field camera operation, more advanced uses of digital sound editing and titling."
JMC 490 - Seminar in Journalism,1-4,"Selected problem, topic, or area treated more intensively than in other offerings."
